red,blue,winner,raw_winner,avg_think_time_red,avg_think_time_blue,total_moves,game
agent,agent2,agent,RED,1.5828,,53,1
agent2,agent,agent,BLUE,,1.6636,58,2
agent,agent2,agent,RED,1.7862,,53,3
agent2,agent,agent,BLUE,,1.1927,68,4
agent,agent2,agent,RED,1.6936,,53,5
agent2,agent,agent,BLUE,,1.5743,60,6
agent,agent2,agent,RED,1.7422,,53,7
agent2,agent,agent,BLUE,,1.3333,62,8
agent,agent2,agent,RED,1.6786,,53,9
agent2,agent,agent,BLUE,,1.3117,62,10
